Actor in a Leading Role,Javier Bardem,Biutiful
Actor in a Leading Role,Jeff Bridges,True Grit
Actor in a Leading Role,Jesse Eisenberg,The Social Network
Actor in a Leading Role,Colin Firth,The King's Speech
Actor in a Leading Role,James Franco,127 Hours
Actor in a Supporting Role,Christian Bale,The Fighter
Actor in a Supporting Role,John Hawkes,Winter's Bone
Actor in a Supporting Role,Jeremy Renner,The Town
Actor in a Supporting Role,Mark Ruffalo,The Kids Are All Right
Actor in a Supporting Role,Geoffrey Rush,The King's Speech
Actress in a Leading Role,Annette Bening,The Kids Are All Right
Actress in a Leading Role,Nicole Kidman,Rabbit Hole
Actress in a Leading Role,Jennifer Lawrence,Winter's Bone
Actress in a Leading Role,Natalie Portman,Black Swan
Actress in a Leading Role,Michelle Williams,Blue Valentine
Actress in a Supporting Role,Amy Adams,The Fighter
Actress in a Supporting Role,Helena Bonham Carter,The King's Speech
Actress in a Supporting Role,Melissa Leo,The Fighter
Actress in a Supporting Role,Hailee Steinfeld,True Grit
Actress in a Supporting Role,Jacki Weaver,Animal Kingdom
Animated Feature Film,How to Train Your Dragon,Chris Sanders and Dean DeBlois
Animated Feature Film,The Illusioninst,Sylvain Chomet
Animated Feature Film,Toy Story 3,Lee Unkrich
Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara
Art Direction,Harry Potter and the Deathly Hallows Part 1,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan
Art Direction,Inception,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat
Art Direction,The King's Speech,Production Design: Eve Stewart; Set Decoration: Judy Farr
Art Direction,True Grit,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh
Cinematography,Black Swan,Matthew Libatique
Cinematography,Inception,Wally Pfister
Cinematography,The King's Speech,Danny Cohen
Cinematography,The Social Network,Jeff Cronenweth
Cinematography,True Grit,Roger Deakins
Costume Design,Alice in Wonderland,Colleen Atwood
Costume Design,I Am Love,Antonella Cannarozzi
Costume Design,The King's Speech,Jenny Beavan
Costume Design,The Tempest,Sandy Powell
Costume Design,True Grit,Mary Zophres
Directing,Black Swan,Darren Aronofsky
Directing,The Fighter,David O. Russell
Directing,The King's Speech,Tom Hooper
Directing,The Social Network,David Fincher
Directing,True Grit,Joel Coen and Ethan Coen
Documentary (Feature),Exit through the Gift Shop,Banksy and Janie D'Cruz
Documentary (Feature),Gasland,Josh Fox and Trish Adlesic
Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs
Documentary (Feature),Restrepo,Tim Hetherington and Sebastian Junger
Documentary (Feature),Waste Land,Lucy Walker and Angus Aynsley
Documentary (Short Subject),Killing in the Name,Jed Rothstein
Documentary (Short Subject),Poster Girl,Sara Nesson and Mitchell W. Block
Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon
Documentary (Short Subject),Sun Come Up,Jennifer Redfearn and Tim Metzger
Documentary (Short Subject),The Warriors of Qiugang,Ruby Yang and Thomas Lennon
Film Editing,Black Swan,Andrew Weisblum
Film Editing,The Fighter,Pamela Martin
Film Editing,The King's Speech,Tariq Anwar
Film Editing,127 Hours,Jon Harris
Film Editing,The Social Network,Angus Wall and Kirk Baxter
Foreign Language Film,Biutiful,Mexico
Foreign Language Film,Dogtooth,Greece
Foreign Language Film,In a Better World,Denmark
Foreign Language Film,Incendies,Canada
Foreign Language Film,Outside the Law (Hors-la-loi),Algeria
Makeup,Barney's Version,Adrien Morot
Makeup,The Way Back,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng"
Makeup,The Wolfman,Rick Baker and Dave Elsey
Music (Original Score),How to Train Your Dragon,John Powell
Music (Original Score),Inception,Hans Zimmer
Music (Original Score),The King's Speech,Alexandre Desplat
Music (Original Score),127 Hours,A.R. Rahman
Music (Original Score),The Social Network,Trent Reznor and Atticus Ross
Music (Origiinal Song),"""Coming Home"" from ""Country Strong""","Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey"
Music (Origiinal Song),"""I See the Light"" from ""Tangled""",Music by Alan Menken Lyric by Glenn Slater
Music (Origiinal Song),"""If I Rise"" from ""127 Hours""",Music by A.R. Rahman Lyric by Dido and Rollo Armstrong
Music (Origiinal Song),"""We Belong Together"" from ""Toy Story 3""",Music and Lyric by Randy Newman
Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers"
Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers"
Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers"
Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers"
Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers"
Best Picture,The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca and Ce‡n Chaffin, Producers"
Best Picture,Toy Story 3,"Darla K. Anderson, Producer"
Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers"
Short Film (Animated),Day & Night,Teddy Newton
Short Film (Animated),The Gruffalo,Jakob Schuh and Max Lang
Short Film (Animated),Let's Pollute,Geefwee Boedoe
Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann
Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",Bastien Dubois
Short Film (Live Action),The Confession,Tanel Toom
Short Film (Live Action),The Crush,Michael Creagh
Short Film (Live Action),God of Love,Luke Matheny
Short Film (Live Action),Na Wewe,Ivan Goldschmidt
Short Film (Live Action),Wish 143,Ian Barnes and Samantha Waite
Sound Editing,Inception,Richard King
Sound Editing,Toy Story 3,Tom Myers and Michael Silvers
Sound Editing,Tron: Legacy,Gwendolyn Yates Whittle and Addison Teague
Sound Editing,True Grit,Skip Lievsay and Craig Berkey
Sound Editing,Unstoppable,Mark P. Stoeckinger
Sound Mixing,Inception,"Lora Hirschberg, Gary A. Rizzo and Ed Novick"
Sound Mixing,The King's Speech,"Paul Hamblin, Martin Jensen and John Midgley"
Sound Mixing,Salt,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin"
Sound Mixing,The Social Network,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten"
Sound Mixing,True Grit,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland"
Visual Effects,Alice in Wonderland,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips"
Visual Effects,Harry Potter and the Deathly Hallows Part 1,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi"
Visual Effects,Hereafter,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell"
Visual Effects,Inception,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb"
Visual Effects,Iron Man 2,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick"
Writing (Adapted Screenplay),127 Hours,Screenplay by Danny Boyle & Simon Beaufoy
Writing (Adapted Screenplay),The Social Network,Screenplay by Aaron Sorkin
Writing (Adapted Screenplay),Toy Story 3,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich"
Writing (Adapted Screenplay),True Grit,Written for the screen by Joel Coen & Ethan Coen
Writing (Adapted Screenplay),Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini
Writing (Original Screenplay),Another Year,Written by Mike Leigh
Writing (Original Screenplay),The Fighter,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson
Writing (Original Screenplay),Inception,Written by Christopher Nolan
Writing (Original Screenplay),The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg
Writing (Original Screenplay),The King's Speech,Screenplay by David Seidler
